transactions
amount,balance,date,description,record_identifier
10624.0,32596.59,31-07-2017,LOAN RECOVERY,47.0
1800.0,30796.59,31-07-2017,CWDR//315887/CSO9013,48.0
96.0,30700.59,01-08-2017,MEDR/PAYTM APP /260147/,49.0
7000.0,23700.59,02-08-2017,CWDR//928757/ID046101,50.0
17.7,23682.89,02-08-2017,SMSCharges QtrAPR17-JUN17+GST@18,51.0
7500.0,,03-08-2017,CWDR//223210/CS046112,52.0
100.0,16082.89,04-08-2017,MEDR/RPSL /311794/,53.0
11955.0,4127.89,05-08-2017,NACH/HDFC BANK LIMITED,54.0
1000.0,3127.89,05-08-2017,CWDR//721658/ID046101,55.0
,2127.89,06-08-2017,CWDR//342208/MS09047,56.0
500.0,,09-08-2017,NEFT-MSBTE PUNE,57.0
92.0,2719.89,10-08-2017,Int:01-05-2017/31-07-2017,58.0
100.0,2619.89,11-08-2017,MEDR/RPSL /780867/,59.0
600.0,2019.89,11-08-2017,CWDR//961423/CS046112,60.0
50.0,1969.89,12-08-2017,MEDR/RPSL /625528/,61.0
700.0,1269.89,13-08-2017,CWDR//165162/TPCN1257,62.0
520.0,749.89,14-08-2017,CWDR//881905/NKOL6146,63.0
50.0,699.89,15-08-2017,MEDR/RPSL /393736/,64.0
99.0,600.89,17-08-2017,MEDR/RPSL /927334/,65.0
500.0,100.89,19-08-2017,CWDR//342216/MS09047,66.0
100.0,0.89,23-08-2017,MEDR/RPSL /528342/,67.0
375.0,375.89,30-08-2017,NEFT-MSBTE,68.0
800.0,1175.89,30-08-2017,NEFT-MSBTE,69.0
300.0,1475.89,30-08-2017,NEFT-MSBTE,70.0
400.0,1075.89,31-08-2017,CWDR//342203/MS09047,71.0
50.0,1025.89,31-08-2017,MEDR/RPSL /516710/,72.0
520.0,505.89,31-08-2017,CWDR//450359/CS046112,73.0
100.0,405.89,03-09-2017,MEDR/RPSL /127065/,74.0
200.0,205.89,04-09-2017,MEDR/RPSL /758515/,75.0
42995.0,43200.89,04-09-2017,salary,76.0
10624.0,32576.89,04-09-2017,Loan amt debit,77.0
3500.0,29076.89,04-09-2017,CWDR//342525/MS09047,78.0
500.0,28576.89,05-09-2017,CWDR//229893/TPCN1257,79.0
2110.0,26466.89,06-09-2017,MEDR/RPSL /531022/,80.0
4000.0,22466.89,06-09-2017,BUPI/7249099 25612/06-09-2017 09:26:03/UPI,81.0
11955.0,10511.89,06-09-2017,NACH/HDFC BANK LIMITED,82.0
60.0,10451.89,06-09-2017,MEDR/RPSL /134746/,83.0
2500.0,7951.89,07-09-2017,CWDR//315869/CSO9013,84.0
100.0,7851.89,09-09-2017,MEDR/RPSL /149239/,85.0
2500.0,5351.89,13-09-2017,CWDR//774704/CS046112,86.0
2500.0,7851.89,13-09-2017,CWRR//774704/CS046112,87.0
2500.0,5351.89,13-09-2017,CWDR//915436/TPCN1257,88.0
4000.0,1351.89,13-09-2017,CWDR//181031/TPCN1257,89.0
100.0,1251.89,15-09-2017,MEDR/RPSL /853680/,90.0
700.0,551.89,15-09-2017,CWDR//342558/MS09047,91.0
500.0,51.89,16-09-2017,CWDR//880858/NKOL6146,92.0
50.0,1.89,21-09-2017,MEDR/RPSL /99057/,93.0
43002.0,43003.89,29-09-2017,BIT SAL,94.0
10624.0,32379.89,29-09-2017,loan rec,95.0
2500.0,29879.89,30-09-2017,CWDR//342342/MS09047,96.0
3000.0,26879.89,04-10-2017,CWDR//342233/MSO9047,97.0
50.0,26829.89,04-10-2017,BUPI/727752803073/04-10-2017 13:27:04/UPI,98.0
11955.0,14874.89,05-10-2017,NACH DR INW - HDFC BANK LIMITED 0099400705/AGL,99.0
