transactions
amount,balance,date,description,record_identifier
7500.0,7374.89,05-10-2017,CWDR//843402/TPCN1257,100.0
301.5,7073.39,06-10-2017,MEDR/RN DHAGE PET/346428/,101.0
85.0,6988.39,07-10-2017,BUPI/728044848900/07-10-2017 11:09:21/UPI,102.0
500.0,6488.39,07-10-2017,CWDR//259809/TPCN1257,103.0
500.0,5988.39,07-10-2017,CWDR//448349/TPCN1257,104.0
500.0,6488.39,07-10-2017,CWRR//259809/TPCN1257,105.0
1000.0,5488.39,08-10-2017,BUPI/728132934815/08-10-2017 08:55:27/UPI,106.0
830.0,4658.39,08-10-2017,BUPI/728134608834/08-10-2017 17:24:40/UPI,107.0
2.67,4655.72,11-10-2017,REV MERV//346428/R02/TIPS-SURG,108.0
51.0,4604.72,11-10-2017,BUPI/728416921779/11-10-2017 16:25:06/UPI,109.0
51.0,4655.72,11-10-2017,BUPI/728416922574/11-10-2017 16:26:54/UPI,110.0
51.0,4604.72,12-10-2017,BUPI/728515280096/12-10-2017 15:27:18/UPI,111.0
51.0,4655.72,12-10-2017,BUPI/728515281048/12-10-2017 15:29:50/UPI,112.0
500.0,4155.72,12-10-2017,MEDR/MIRA PETROLE/53178/,113.0
51.0,4104.72,12-10-2017,BUPI/728519367182/12-10-2017 19:17:18/UPI,114.0
399.0,3705.72,15-10-2017,BDIPG/JB5738620209/RPSL,115.0
650.0,3055.72,15-10-2017,MEDR/VARDHAMAN HO/843576/,116.0
650.0,2405.72,15-10-2017,MEDR/Priydarshni /352829/,117.0
2000.0,405.72,16-10-2017,CWDR//504106/TPCN1257,118.0
300.0,105.72,19-10-2017,BUPI/729232752185/19-10-2017 16:45:05/UPI,119.0
51.0,54.72,20-10-2017,BUPI/729307567831/20-10-2017 07:57:13/UPI,120.0
4.43,50.29,21-10-2017,REV MERV//053178/R02/TIPS-SURG,121.0
